"Index","E_ARS","E_AUD","E_AUT","E_BEF","E_BRL","E_CAD","E_CHF","E_CNY","E_CZK","E_DEM","E_DKK","E_ESP","E_FKK","E_FRA","E_GBP","E_GRD","E_HKD","E_HUF","E_IDR","E_ILS","E_INR","E_IRE","E_ITL","E_JPY","E_KRW","E_MXN","E_MYR","E_NOK","E_NTH","E_NZD","E_PHP","E_PLN","E_RUB","E_SEK","E_SGD","E_SKK","E_THB","E_TRY","E_TWD","E_USD","E_ZAR","EURSTOXX50"
1994-11-30,null,0.07625,0.053125,0.05313,null,0.0598438,0.0401563,null,0.114,0.053125,0.06266,0.07847,null,0.05625,0.0625,0.053125,0.0616406,null,null,null,null,0.05875,0.086875,0.02375,0.141,0.1476,0.0525,0.064,0.0534,0.0914,null,null,1.5998,0.0811,0.0444,null,null,null,0.061,0.061875,null,0.0521100715027632
1994-12-31,null,0.083125,0.0525,0.05313,null,0.0710938,0.0429688,null,0.12315,0.0525,0.0605,0.08606,null,0.0625,0.0667969,0.0525,0.0642969,null,null,null,null,0.065,0.090625,0.024375,0.154,0.3113,0.0542,0.0602,0.0532,0.0944,null,0.2801,1.58665,0.0797,0.0438,null,null,null,0.061,0.065,null,0.0536980678112287
1995-01-31,null,0.08375,0.050625,0.05453,null,0.0823438,0.04,null,0.10535,0.050625,0.06124,0.08814,0.057,0.05875,0.0679688,0.050625,0.0753906,null,null,null,null,0.061875,0.08875,0.023125,0.1654,0.38,0.055,0.0566,0.0513,0.0921,null,0.2789,1.9089,0.0802,0.0313,null,null,null,0.061,0.063125,null,0.0526390516764918
1995-02-28,null,0.0796875,0.05125,0.0575,null,0.0764063,0.03875,null,0.10005,0.05125,0.073,0.08711,0.0603,0.0630468,0.0675,0.05125,0.0664063,null,null,null,null,0.064375,0.10125,0.023125,0.164,0.57,0.0563,0.0527,0.0514,0.0943,null,0.2899,1.75255,0.079,0.0288,null,null,null,0.061,0.0625,null,0.0541741275061277
1995-03-31,null,0.0796875,0.0475,0.0575,null,0.0823438,0.035,null,0.10005,0.0475,0.069,0.0955,0.0603,0.0796875,0.0675,0.0475,0.0628125,null,null,null,null,0.070625,0.110625,0.0176563,0.144,0.75,0.0605,0.0524,0.0492,0.0934,null,0.2932,1.627,0.0867,0.0288,null,null,null,0.061,0.0625,null,0.0559714577585957
1995-04-30,null,0.079375,0.045625,0.05372,null,0.0785938,0.035,null,0.09955,0.045625,0.06714,0.09321,0.0588,0.080039,0.07,0.045625,0.065625,null,null,null,null,0.06875,0.106875,0.014375,0.147,0.715,0.0602,0.0547,0.0457,0.0914,null,0.2866,1.16135,0.0878,0.0206,null,null,null,0.061,0.061875,null,0.0537992406374791
1995-05-31,null,0.0757813,0.045,0.0492,null,0.07375,0.0326563,null,0.1,0.045,0.0679,0.09527,0.0579,0.0750781,0.066875,0.045,0.061875,null,null,null,null,0.066875,0.1075,0.011875,0.1485,0.5199,0.0585,0.0575,0.0441,0.0911,null,0.2656,0.85915,0.0877,0.01,null,null,null,0.061,0.060625,null,0.0516172825511949
1995-06-30,null,0.07625,0.04625,0.0475,null,0.06875,0.03125,null,0.113,0.04625,0.064,0.09695,0.0621,0.069375,0.07,0.04625,0.059375,null,null,null,null,0.068125,0.10875,0.0125,0.1505,0.415,0.0582,0.0569,0.0425,0.0902,null,0.2666,0.58625,0.0916,0.0244,null,null,null,0.061,0.0605859,null,0.050644556025591
1995-07-31,null,0.07625,0.0455859,0.045625,null,0.06875,0.0273438,null,0.11165,0.045,0.0634375,0.09625,0.061,0.061875,0.069375,0.0455859,0.058125,null,null,null,null,0.065625,0.106875,0.008125,0.139,0.38,0.0582,0.056,0.0409375,0.0891,null,0.2636,0.80235,0.0928,0.0313,null,null,null,0.059,0.05875,null,0.0536753181651732
1995-08-31,null,0.075625,0.043125,0.04375,null,0.0640625,0.02875,null,0.1082,0.0425,0.057188,0.094688,0.0598,0.056875,0.0685156,0.043125,0.0628125,null,null,null,null,0.06,0.103125,0.0078125,0.1355,0.354,0.061,0.0529,0.039375,0.095,null,0.2593,1.1775,0.092,0.0288,null,null,null,0.058,0.0588281,null,0.0511079550682951
1995-09-30,null,0.074375,0.0409375,0.0425,null,0.0653125,0.0248438,null,0.109,0.04067,0.0571875,0.09375,0.0613,0.06375,0.0682813,0.0409375,0.0621904,0.308,null,null,null,0.05875,0.10563,0.0046875,0.1285,0.3445,0.0613,0.0546,0.0378125,0.0919,null,0.2539,1.28,0.0905,0.0275,null,null,null,0.0575,0.0595313,null,0.0509873032650345
1995-10-31,null,0.075625,0.04125,0.0425,null,0.064375,0.0207813,null,0.11085,0.04063,0.05594,0.09469,0.0544,0.06438,0.068125,0.04125,0.059375,0.3,null,null,null,0.0575,0.10563,0.005,0.1205,0.4442,0.0672,0.0535,0.03906,0.0822,null,0.2527,1.14,0.0874,0.0288,null,null,null,0.0575,0.059375,null,0.0512671060101644
1995-11-30,null,0.0746875,0.039375,0.03875,null,0.05875,0.02125,null,0.1104,0.038125,0.05125,0.0925,0.0466,0.056875,0.0658594,0.039375,0.0605469,0.303,null,null,null,0.056875,0.105,0.0048438,0.119,0.539,0.0677,0.0527,0.036875,0.0833,null,0.2528,1.15,0.0885,0.0269,null,null,null,0.0575,0.05875,null,0.047905310031553
1995-12-31,null,0.07375,0.038125,0.038125,null,0.05625,0.018125,null,0.1043,0.0375,0.047188,0.090625,0.0429,0.049688,0.065625,0.038125,0.059375,0.31,null,null,null,0.055625,0.103125,0.005,0.123,0.463,0.0682,0.0527,0.035,0.0877,0.156875,0.2514,1.12085,0.0859,0.0256,null,null,null,0.0575,0.05625,null,0.0455745882004849
1996-01-31,null,0.07375,0.0332031,0.03266,null,0.0529688,0.0176563,null,0.1044,0.03219,0.04625,0.08719,0.0419,0.04391,0.063125,0.0332031,0.056875,0.26,null,null,null,0.0513,0.09688,0.005625,0.1165,0.345,0.0713,0.0553,0.03,0.0854,0.141875,0.2256,0.93165,0.0815,0.0275,null,null,null,0.0575,0.05375,null,0.040646158637064
1996-02-29,null,0.075,0.0335156,0.03313,null,0.053125,0.01625,0.12708,0.10715,0.03313,0.04469,0.085,0.0424,0.0475,0.061875,0.0335156,0.0523438,0.254,null,null,null,0.052071,0.09953,0.0076563,0.1168,0.369,0.0713,0.0518,0.03125,0.0897,0.13625,0.2214,0.845,0.0755,0.0213,null,null,null,0.0575,0.0530469,null,0.0415765551522611
1996-03-31,null,0.075625,0.0334766,0.03281,null,0.05125,0.0179688,0.13164,0.1117,0.03313,0.04203,0.08281,0.0386,0.04141,0.06125,0.0334766,0.0542969,0.253,null,null,null,0.0516,0.09906,0.0060938,0.1135,0.399,0.0709,0.0473,0.03047,0.0899,0.134375,0.2228,0.77,0.0693,0.0231,null,null,null,0.0575,0.0547266,null,0.0401950095497416
1996-04-30,null,0.075625,0.0325,0.0325,null,0.048125,0.01875,0.1272,0.1148,0.0321875,0.0371875,0.0734375,0.0375,0.03796875,0.0607031,0.0325,0.0535156,0.241,null,null,null,0.0504,0.0884375,0.0066797,0.1005,0.347,0.0713,0.047,0.0271875,0.0962,0.125,0.2237,0.8375,0.0634,0.0244,null,null,null,0.0575,0.0548438,null,0.0374962785819674
1996-05-31,null,0.0759375,0.0332422,0.0325,null,0.048125,0.02625,0.12624,0.1173,0.033125,0.03890625,0.074375,0.0377,0.03859375,0.06125,0.0332422,0.0538281,0.24,null,null,null,0.0519,0.088125,0.0055469,0.117,0.28,0.0732,0.0479,0.02671875,0.099,0.1175,0.2125,0.8875,0.0629,0.025,null,null,null,0.0555,0.055,null,0.0378639107629241
1996-06-30,null,0.07625,0.03375,0.033125,null,0.048125,0.025625,0.12734,0.1242,0.033125,0.03875,0.071875,0.0368,0.03859375,0.05875,0.03375,0.0566346,0.24,null,null,null,0.0531,0.0853125,0.0060156,0.1275,0.295,0.0732,0.0498,0.029375,0.1027,0.125,0.2134,0.9175,0.0587,0.0294,null,null,null,0.0555,0.0558203,null,0.0384935811375658
1996-07-31,null,0.070625,0.0335938,0.033125,null,0.04625,0.025625,0.12665,0.1263,0.0325,0.0384375,0.07296875,0.0362,0.0375,0.0582813,0.0335938,0.0568269,0.24,null,null,null,0.0562,0.085625,0.006875,0.135,0.317,0.0742,0.0499,0.03015625,0.1007,0.12125,0.1971,0.825,0.0548,0.035,null,null,null,0.0555,0.0567578,null,0.0386438556803963
1996-08-31,null,0.0689063,0.0315625,0.03125,null,0.0416406,0.0217188,0.12199,0.1256,0.03109375,0.0384375,0.07234375,0.0338,0.0396875,0.058125,0.0315625,0.0561058,0.2345,null,null,null,0.058971,0.08484375,0.0051953,0.152,0.2807,0.0725,0.052,0.0275,0.0995,0.110625,0.1907,0.65,0.0518,0.0344,null,null,null,0.0555,0.055625,null,0.037614129787332
1996-09-30,null,0.0678125,0.03125,0.030625,null,0.0400781,0.015,0.11767,0.12485,0.03078125,0.03796875,0.06875,0.0321,0.03375,0.0595313,0.03125,0.0564063,0.2317,null,null,null,0.0575,0.0796875,0.0051563,0.144,0.2675,0.0732,0.0509,0.0275,0.0993,0.1175,0.1948,0.6875,0.0485,0.0331,null,null,null,0.0545,0.05625,null,0.0360379778479884
1996-10-31,null,0.06625,0.0315625,0.03109375,null,0.033125,0.018125,0.11823,0.12575,0.03125,0.03625,0.068125,0.0308,0.03390625,0.0628125,0.0315625,0.0557813,0.2296,null,null,null,0.05735,0.075625,0.005,0.1395,0.301,0.0731,0.0498,0.03,0.0903,0.11375,0.194,0.48335,0.0471,0.035,null,null,null,0.052,0.055,null,0.0364413376332387
1996-11-30,null,0.065,0.0324609,0.0309375,null,0.03,0.0209375,0.12004,0.12525,0.0315625,0.03640625,0.06453125,0.0308,0.0340625,0.0640625,0.0324609,0.0569792,0.2246,null,0.144,null,0.0572,0.07140625,0.0048048,0.1345,0.277,0.074,0.0423,0.03015625,0.0878,0.1125,0.1951,0.48335,0.0442,0.0356,null,null,null,0.052,0.055,null,0.0361975978332738
1996-12-31,null,0.06,0.03125,0.030625,null,0.03125,0.01875,0.11958,0.1251,0.03125,0.03625,0.06296875,0.0309,0.03375,0.0654688,0.03125,0.0560795,0.2225,null,0.1545,null,0.059657,0.07140625,0.0049219,0.136,0.2599,0.0732,0.039,0.03078125,0.0789,0.1125,0.2173,0.48335,0.04096,0.0306,null,null,null,0.052,0.055625,null,0.0362348260325417
1997-01-31,null,0.0571875,0.03125,0.03125,null,0.031875,0.0173438,0.11985,0.1206,0.03109375,0.03546875,0.060625,0.031,0.03265625,0.0632813,0.03125,0.0571023,0.2191,null,0.1454,null,0.059143,0.075625,0.005,0.1235,0.235,0.073,0.0356,0.02875,0.0746,0.09875,0.2184,0.34835,0.0427,0.0275,null,null,null,0.052,0.055625,null,0.035759873338203
1997-02-28,null,0.06,0.0325,0.03453125,null,0.031875,0.0175,0.11892,0.1228,0.03078125,0.03578125,0.060625,0.0306,0.0328125,0.0625,0.0325,0.0570192,0.2129,null,0.1454,null,0.0581,0.073125,0.0051953,0.1245,0.2118,0.073,0.0354,0.0325,0.0773,0.10125,0.2216,0.31415,0.04204,0.0306,null,null,null,0.052,0.0553906,null,0.0369956744795231
